date,ticker,open,close,volume,sentiment_score,ai_model_version,prediction_next_day_return,signal
2023-11-21,GOOG,122.22,121.76,72630221,0.3,v1.0.0,0.0208,BUY
2024-10-30,BTCUSD,108.5,108.67,22116146,-0.127,v1.1.0,-0.0209,SELL
2024-08-20,TSLA,82.91,82.95,33543674,-0.039,v1.1.0,0.0226,BUY
2023-02-28,BTCUSD,91.67,91.6,27924983,-0.119,v1.0.0,0.0035,HOLD
2024-05-14,AMZN,99.12,99.38,9629744,0.544,v1.0.0,0.0406,BUY
2024-06-13,NVDA,133.41,133.44,35301233,-0.095,v1.1.0,0.0169,BUY
2023-01-12,ETHUSD,99.89,98.29,78344138,-0.101,v1.1.0,-0.0047,HOLD
2023-05-25,NFLX,118.72,118.94,87876544,-0.14,v1.0.0,0.0449,BUY
2024-07-12,FB,101.87,102.86,93974307,0.066,v1.1.0,-0.0089,SELL
2024-09-26,FB,99.38,98.35,26315373,0.159,v1.0.0,-0.0159,SELL
2024-02-21,NFLX,94.27,94.94,74694555,-0.286,v1.1.0,-0.0148,SELL
2024-07-11,AMZN,100.68,101.01,96831608,0.082,v1.0.0,0.0378,BUY
2023-03-23,NVDA,117.89,118.91,2170313,-0.08,v1.1.0,0.0006,HOLD
2023-03-07,FB,95.17,95.23,65765598,-0.228,v1.1.0,0.0006,HOLD
2023-01-06,AAPL,99.71,98.62,30642554,0.305,v1.1.0,-0.0411,SELL
2023-02-20,FB,94.07,94.36,78694250,-0.052,v1.1.0,0.0266,BUY
2023-11-29,NFLX,110.77,110.14,1912340,-0.215,v1.1.0,0.0212,BUY
2023-07-28,TSLA,100.92,101.77,23731670,-0.233,v1.0.0,-0.0225,SELL
2024-09-09,AAPL,89.97,89.39,64562382,0.271,v1.1.0,0.0093,BUY
2023-04-18,NVDA,115.13,114.73,99232193,-0.202,v1.1.0,0.0156,BUY
2023-05-25,MSFT,87.66,88.34,6086769,-0.062,v1.1.0,0.016,BUY
2024-04-19,GOOG,115.62,115.47,51979342,0.129,v1.1.0,-0.0169,SELL
2024-04-10,FB,93.67,91.66,82777786,0.131,v1.0.0,-0.01,SELL
2023-12-13,AMZN,101.13,100.5,56478390,0.145,v1.0.0,-0.0015,HOLD
2023-02-09,AAPL,100.43,100.8,74050117,0.008,v1.1.0,0.0224,BUY
2023-11-10,GOOG,120.03,119.06,62975427,-0.113,v1.1.0,0.0188,BUY
2024-01-08,BTCUSD,114.72,115.01,99479991,-0.394,v1.1.0,-0.0148,SELL
2024-10-02,TSLA,84.48,85.39,74743099,-0.047,v1.0.0,0.0284,BUY
2023-03-14,ETHUSD,97.26,98.04,95153829,0.191,v1.1.0,0.0236,BUY
2024-04-01,AAPL,99.33,99.34,12890952,0.099,v1.1.0,-0.0286,SELL
2023-10-03,GOOG,117.31,116.75,31148000,0.038,v1.0.0,0.024,BUY
2023-06-07,FB,100.89,101.43,44382101,-0.023,v1.1.0,0.0059,BUY
2023-07-21,ETHUSD,98.71,98.19,24810987,0.1,v1.1.0,0.0416,BUY
2023-06-29,BTCUSD,95.45,93.86,33374935,-0.102,v1.0.0,0.0191,BUY
2024-01-09,TSLA,116.2,115.47,28025477,-0.116,v1.0.0,-0.0338,SELL
2023-11-30,MSFT,89.09,89.91,4683283,0.132,v1.0.0,0.0001,HOLD
2024-09-12,FB,98.07,98.01,59828721,0.231,v1.1.0,0.0254,BUY
2023-09-26,BTCUSD,99.33,99.91,74322391,0.014,v1.1.0,-0.0137,SELL
2024-03-07,AAPL,89.45,89.3,13721056,0.552,v1.0.0,0.0328,BUY
2023-08-29,BTCUSD,97.99,98.11,23251295,-0.298,v1.1.0,0.0187,BUY
2023-10-02,ETHUSD,88.44,88.11,16778846,-0.04,v1.0.0,0.0012,HOLD
2023-11-30,BTCUSD,111.56,111.97,71394786,-0.313,v1.1.0,-0.022,SELL
2023-08-09,TSLA,101.16,100.58,88637568,0.059,v1.0.0,0.0114,BUY
2024-05-22,AMZN,101.81,101.53,42161721,-0.125,v1.0.0,0.0085,BUY
2024-02-23,BTCUSD,115.01,115.91,4600087,-0.151,v1.0.0,-0.0047,HOLD
